20 128 
 17 106 71 0 0 0 0 0 15 92 95 13 0 0 0 0 8 39 85 41 7 0 0 0 0 0 68 60 6 0 0 0 55 83 50 0 0 0 0 23 107 97 51 9 10 15 0 36 42 39 75 75 63 24 0 20 0 0 95 109 37 0 0 0 73 13 0 0 0 0 0 48 141 32 0 16 16 14 0 38 52 21 0 70 127 24 0 15 0 0 32 82 102 15 0 0 59 53 22 0 0 0 0 18 108 43 12 28 23 3 0 15 36 18 13 73 105 17 0 2 0 0 9 60 83 17 0 0
 35 16 1 54 98 25 0 22 84 56 24 21 26 15 9 54 23 24 21 46 93 39 9 21 3 0 0 25 80 50 25 23 62 11 16 82 55 0 7 56 88 43 14 15 12 22 75 109 21 20 12 25 46 99 89 37 0 0 0 4 34 101 70 26 86 21 9 33 6 0 15 60 130 64 0 0 0 15 28 63 60 24 0 0 82 85 42 36 0 0 0 10 67 71 34 3 60 34 0 1 1 0 7 41 120 52 1 0 1 2 1 35 69 32 7 3 70 56 0 23 0 0 0 15 75 47 7 0
 38 36 29 23 43 38 0 8 81 47 16 10 22 24 22 28 19 6 1 8 79 69 21 14 33 0 0 2 45 41 8 19 47 6 3 1 66 110 21 16 127 35 15 6 13 42 25 46 41 23 23 18 71 102 25 27 24 0 0 4 45 76 61 37 18 5 0 0 89 141 22 8 75 79 35 10 55 67 21 24 53 64 43 24 38 39 47 66 12 4 0 4 17 62 93 44 0 0 15 59 103 65 0 0 54 41 3 40 93 46 0 19 84 79 23 3 3 5 22 54 36 52 14 0 1 55 37 26
 18 57 82 15 0 0 6 34 40 39 90 28 0 0 0 30 83 54 56 7 0 0 2 56 127 107 12 0 0 0 4 36 22 23 15 8 18 30 46 61 72 48 25 19 30 28 13 33 133 42 1 0 0 0 5 67 97 66 0 0 0 0 9 62 40 6 27 54 34 25 29 23 80 39 29 50 45 25 4 25 151 46 22 0 0 0 0 37 71 66 46 0 0 0 0 25 20 12 24 66 47 0 0 12 69 74 26 54 26 0 0 0 98 71 59 53 0 0 0 0 15 68 115 61 0 0 0 0
 80 79 0 0 0 0 2 5 92 79 8 0 1 3 6 18 35 47 24 0 7 21 15 25 23 24 7 0 8 21 27 27 76 73 0 0 0 27 19 17 151 90 4 0 0 6 24 43 66 39 13 0 0 47 62 40 48 37 7 4 7 26 29 19 42 25 0 0 1 77 106 81 132 38 0 0 0 0 89 130 74 7 0 0 3 64 59 72 20 17 11 4 11 68 36 14 47 11 5 16 33 56 85 87 29 0 0 0 0 46 114 94 13 0 0 0 13 52 65 46 1 0 0 0 30 62 31 2
 9 58 81 10 0 0 0 3 68 90 51 0 0 0 0 8 71 38 6 0 0 0 5 39 33 0 0 0 0 0 10 73 49 38 50 14 0 0 12 32 145 60 18 0 0 0 5 44 111 62 11 0 0 0 5 66 63 31 1 10 19 0 20 107 28 2 6 3 0 0 61 98 88 28 14 1 3 20 64 111 74 105 35 11 17 38 33 37 79 125 14 27 33 0 7 38 24 0 0 0 0 0 45 93 35 0 1 4 12 35 64 95 16 35 12 24 65 80 46 27 20 104 46 35 35 20 0 0
 59 74 27 16 1 2 5 5 66 57 24 19 5 21 25 24 4 11 18 18 70 41 18 11 0 0 0 2 86 50 2 0 88 35 3 4 10 10 14 21 145 39 1 1 13 47 43 45 37 4 3 3 58 112 37 16 0 0 0 0 85 94 5 0 77 33 0 3 26 26 13 31 168 51 0 1 14 28 16 48 66 16 0 9 57 109 31 33 0 0 0 7 80 107 19 0 46 16 2 1 25 67 37 41 119 76 34 2 8 11 11 40 49 55 75 50 38 49 19 15 12 8 30 50 56 56 23 24
 8 26 57 61 13 0 3 0 66 111 49 25 1 0 2 0 56 81 35 27 11 8 6 11 7 18 28 26 45 13 7 4 14 11 20 42 34 39 22 9 111 64 15 10 3 5 18 28 138 53 8 6 6 32 44 57 20 8 12 12 49 68 39 23 10 4 0 4 67 75 16 9 113 34 0 5 21 12 11 35 180 37 0 0 12 38 27 57 55 4 0 0 56 100 31 28 2 1 0 3 83 86 17 8 83 25 0 5 21 32 26 54 157 31 0 1 5 13 12 64 56 18 8 12 45 70 25 34
 53 17 3 12 15 42 40 31 50 7 3 0 31 62 25 61 0 10 27 19 47 70 40 14 5 21 38 17 15 14 65 31 50 8 0 0 20 69 56 28 85 27 0 0 20 58 51 58 20 1 0 0 24 95 102 50 31 0 0 0 1 13 105 96 29 12 0 0 43 63 35 28 100 51 0 0 23 40 30 50 61 17 0 0 0 55 80 71 72 0 0 0 0 14 71 83 4 0 0 0 15 81 69 17 52 8 0 0 10 50 66 109 46 4 1 0 0 11 99 130 24 4 4 4 11 7 123 77
 0 0 39 77 50 19 3 5 52 1 4 40 43 11 9 61 82 3 0 1 2 2 32 117 33 1 0 0 0 4 84 79 0 0 20 31 54 75 33 10 102 27 2 15 29 31 10 41 170 28 0 0 0 0 6 62 90 6 0 0 0 0 24 52 2 5 9 63 87 50 16 4 90 51 17 37 43 26 1 20 166 70 3 0 0 0 0 49 82 24 0 0 0 1 5 51 1 3 15 76 59 0 0 2 53 56 28 37 17 0 0 13 133 102 4 0 0 0 0 20 88 52 0 0 0 1 6 18
